Medicine, Cost, Composition, Dosage
Verapamil,44, Haloperidol, 0.25-2mg 2-3 times/day
Acarbose,69, Voglibose, 100mg every 12 hours (up to 200mg/day)
Ranitidine,39, Atorvastatin Calcium, 100mg every 12 hours (up to 200mg/day)
Aripiprazole,46, Furosemide, 12.5-25mg once/day
Chlorpromazine,48, Montelukast Sodium, 100mg every 12 hours (up to 200mg/day)
Lisinopril,35, Metformin Hydrochloride, 150-300mg 2-3 times/day
Amlodipine,41, Hydrochlorothiazide, 400-600mg every 4-6 hours (up to 3.2g/day)
Lamotrigine,93, Azithromycin, 15-45mg once/day
Glimepiride,45, Losartan Potassium, 40mg once/day
Clopidogrel,63, Amlodipine Besylate, 80-120mg 2-3 times/day
Paracetamol,61, Glyburide, 600-1800mg/day
Aripiprazole,54, Trazodone Hydrochloride, 10mg once/day
Nateglinide,62, Amlodipine Besylate, 12.5-150mg 3 times/day
Azithromycin,40, Atorvastatin Calcium, 75-150mg 2-3 times/day
Amlodipine,38, Voglibose, 25-200mcg once/day
Glyburide,78, Ranitidine Hydrochloride, 10-20mg once/day
Amlodipine,34, Azithromycin, 500mg on day 1 followed by 250mg once/day for 4 days
Aspirin,52, Fluoxetine Hydrochloride, 10-40mg once/day
Gabapentin,74, Ramipril, 600-1800mg/day
Ramipril,72, Nifedipine, 10-30mg 2-3 times/day
Propranolol,42, Glyburide, 1-4mg once/day
Venlafaxine,45, Risperidone, 500mg every 4-6 hours (up to 4g/day)
Trazodone,51, Quetiapine Fumarate, 5-20mg once/day
Omeprazole,64, Metoprolol Tartrate, 500mg every 4-6 hours (up to 4g/day)
Ramipril,64, Clopidogrel Bisulfate, 6-12mg once/day
Glimepiride,86, Azithromycin, 25-200mcg once/day
Clopidogrel,34, Amoxicillin Trihydrate, 500-2000mg/day
Rosiglitazone,39, Lithium Carbonate, 400-600mg every 4-6 hours (up to 3.2g/day)
Losartan,59, Paliperidone, 40-60mg once/day
Baclofen,55, Metformin Hydrochloride, 150-300mg once/day
Clopidogrel,58, Verapamil Hydrochloride, 20-80mg once/day
Metformin,34, Captopril, 5-10mg 2-3 times/day
Nifedipine,64, Omeprazole, 300-1200mg 3 times/day
Captopril,83, Clopidogrel Bisulfate, 10-30mg 2-3 times/day
Pregabalin,83, Thioridazine Hydrochloride, 6.25-50mg 2-3 times/day
Duloxetine,68, Alprazolam, 50-450mg 2-3 times/day
Duloxetine,59, Ramipril, 300-1200mg 3 times/day
Pregabalin,49, Atorvastatin Calcium, 2.5-10mg once/day
Ranitidine,35, Warfarin Sodium, 2.5-20mg once/day
Warfarin,51, Pantoprazole Sodium, 40-320mg once/day
Irbesartan,73, Aripiprazole, 5-30mg once/day
Paliperidone,57, Diltiazem Hydrochloride, 120mg before each meal
Nisoldipine,43, Baclofen, 10mg once/day
Ranitidine,92, Metformin Hydrochloride, 500mg on day 1 followed by 250mg once/day for 4 days
Cetirizine,84, Acarbose, 10-20mg once/day
Glyburide,62, Thioridazine Hydrochloride, 1-4mg once/day
Duloxetine,52, Glyburide, 0.25-2mg 2-3 times/day
Thioridazine,19, Furosemide, 0.5-2mg 2-3 times/day
Alprazolam,47, Venlafaxine Hydrochloride, 40-320mg 2-3 times/day
Carvedilol,46, Alprazolam, 30-120mg 2-3 times/day
Hydrochlorothiazide,48, Azithromycin, 0.2-0.3g before each meal
Pioglitazone,49, Acarbose, 40-320mg 2-3 times/day
Pregabalin,59, Thioridazine Hydrochloride, 10mg once/day
Fluoxetine,56, Chlorpromazine Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Warfarin,77, Acetaminophen, 40mg once/day
Valsartan,39, Nateglinide, 25-100mg once/day
Paliperidone,82, Pantoprazole Sodium, 10-30mg 2-3 times/day
Glimepiride,67, Gabapentin, 2.5-20mg once/day
Risperidone,51, Nisoldipine, 5-30mg once/day
Glibenclamide,43, Pregabalin, 40-160mg once/day
Simvastatin,79, Rosiglitazone Maleate, 10-30mg 2-3 times/day
Lercanidipine,61, Amoxicillin Trihydrate, 10-80mg 2-3 times/day
Nisoldipine,77, Nifedipine, 10-30mg 2-3 times/day
Acarbose,51, Duloxetine Hydrochloride, 25-100mg before each meal
Levothyroxine,47, Clonazepam, 25-100mg once/day
Azithromycin,59, Levothyroxine Sodium, 30-120mg 2-3 times/day
Telmisartan,63, Metoprolol Tartrate, 15-45mg once/day
Miglitol,63, Amoxicillin Trihydrate, 40-60mg once/day
Rosiglitazone,47, Enalapril Maleate, 5-10mg once/day
Risperidone,78, Candesartan Cilexetil, 5-10mg 2-3 times/day
Glibenclamide,56, Quetiapine Fumarate, 500-2000mg/day
Gabapentin,33, Acarbose, 0.25-2mg 2-3 times/day
Cetirizine,81, Chlorpromazine Hydrochloride, 15-45mg once/day
Metformin,94, Losartan Potassium, 25-500mg once/day
Lamotrigine,90, Fluphenazine Decanoate, 10-20mg once/day
Lamotrigine,79, Ranitidine Hydrochloride, 0.2-0.3g before each meal
Fluoxetine,52, Lercanidipine Hydrochloride, 10-30mg 2-3 times/day
Candesartan,54, Paliperidone, 40-160mg once/day
Ramipril,50, Duloxetine Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Aripiprazole,55, Acetaminophen, 5-10mg once/day
Verapamil,64, Acarbose, 150-300mg 2-3 times/day
Nateglinide,36, Clonazepam, 2.5-10mg once/day
Nateglinide,52, Duloxetine Hydrochloride, 10-80mg once/day
Voglibose,44, Carvedilol, 10-80mg once/day
Cetirizine,38, Acetaminophen, 150-300mg 2-3 times/day
Duloxetine,52, Acetylsalicylic Acid, 25-800mg/day
Plendil,48, Alprazolam, 2-6mg once/day
Fluphenazine,49, Cetirizine Hydrochloride, 1-4mg once/day
Repaglinide,18, Diltiazem Hydrochloride, 37.5-225mg once/day
Atorvastatin,41, Carvedilol, 80-120mg 2-3 times/day
Cetirizine,50, Lisinopril Dihydrate, 0.5-4mg before each meal
Paliperidone,22, Voglibose, 25-200mcg once/day
Miglitol,73, Valproic Acid, 5-10mg 2-3 times/day
Simvastatin,61, Valsartan, 2.5-20mg once/day
Cetirizine,76, Aripiprazole, 500mg every 4-6 hours (up to 4g/day)
Quetiapine,43, Lamotrigine, 500mg on day 1 followed by 250mg once/day for 4 days
Benazepril,20, Valproic Acid, 500mg on day 1 followed by 250mg once/day for 4 days
Irbesartan,48, Quetiapine Fumarate, 10-30mg 2-3 times/day
Risperidone,93, Metformin Hydrochloride, 10-30mg 2-3 times/day
Repaglinide,68, Carvedilol, 12.5-150mg 3 times/day
Acarbose,29, Carvedilol, 10-80mg once/day
Aspirin,33, Paliperidone, 15-45mg once/day
Felodipine,54, Voglibose, 2.5-20mg once/day with meal
Hydrochlorothiazide,45, Lercanidipine Hydrochloride, 10mg once/day
Azithromycin,67, Nisoldipine, 30-120mg 2-3 times/day
Enalapril,52, Propranolol Hydrochloride, 2.5-30mg once every 2-4 weeks
Amlodipine,51, Venlafaxine Hydrochloride, 10mg once/day
Benazepril,71, Nisoldipine, 37.5-225mg once/day
Pregabalin,28, Nifedipine, 5-10mg 2-3 times/day
Metformin,41, Pantoprazole Sodium, 5-40mg once/day
Olanzapine,62, Clopidogrel Bisulfate, 500mg every 4-6 hours (up to 4g/day)
Trazodone,86, Nateglinide, 400-600mg every 4-6 hours (up to 3.2g/day)
Lercanidipine,70, Donepezil Hydrochloride, 30-120mg 2-3 times/day
Irbesartan,79, Montelukast Sodium, 37.5-225mg once/day
Candesartan,64, Voglibose, 10-40mg once/day
Trazodone,58, Telmisartan, 37.5-225mg once/day
Verapamil,59, Metformin Hydrochloride, 2.5-20mg once/day
Diltiazem,50, Montelukast Sodium, 40-320mg 2-3 times/day
Valsartan,32, Valsartan, 40-320mg once/day
Metformin,41, Valsartan, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Cetirizine,57, Fluoxetine Hydrochloride, 10-80mg 2-3 times/day
Voglibose,79, Doxycycline Hyclate, 5-20mg once/day
Captopril,55, Clopidogrel Bisulfate, 10-80mg once/day
Venlafaxine,44, Rosiglitazone Maleate, 500mg on day 1 followed by 250mg once/day for 4 days
Lisinopril,31, Haloperidol, 25-500mg once/day
Captopril,29, Diltiazem Hydrochloride, 40-160mg once/day
Pregabalin,69, Haloperidol, 500-3000mg/day
Clopidogrel,71, Nateglinide, 12.5-150mg 3 times/day
Amlodipine,60, Losartan Potassium, 1-4mg once/day
Miglitol,37, Doxycycline Hyclate, 10-20mg once/day
Captopril,22, Propranolol Hydrochloride, 100mg every 12 hours (up to 200mg/day)
Metformin,43, Repaglinide, 4-8mg once/day
Omeprazole,44, Clopidogrel Bisulfate, 25-1000mg/day
Irbesartan,63, Glibenclamide, 5-20mg once/day
Nisoldipine,34, Simvastatin, 300-1200mg 3 times/day
Atorvastatin,92, Felodipine, 25-100mg once/day
Rosiglitazone,63, Lamotrigine, 40-320mg 2-3 times/day
Ibuprofen,43, Montelukast Sodium, 5-10mg once/day
Montelukast,81, Omeprazole, 40-320mg 2-3 times/day
Metformin,57, Omeprazole, 2.5-20mg once/day
Procardia,63, Paliperidone, 10mg once/day
Warfarin,66, Montelukast Sodium, 25-800mg once/day
Rosiglitazone,83, Voglibose, 80-120mg 2-3 times/day
Furosemide,45, Acarbose, 1-100mg/day
Benazepril,55, Glyburide, 500mg every 4-6 hours (up to 4g/day)
Thioridazine,36, Furosemide, 500-2000mg/day
Fluoxetine,39, Acetaminophen, 25-800mg/day
Montelukast,33, Losartan Potassium, 25-100mg once/day
Nisoldipine,45, Alprazolam, 400-600mg every 4-6 hours (up to 3.2g/day)
Metformin,58, Nateglinide, 2.5-20mg once/day
Metoprolol,56, Olanzapine, 37.5-225mg once/day
Rosiglitazone,49, Paliperidone, 250-500mg every 8 hours (up to 3g/day)
Miglitol,91, Donepezil Hydrochloride, 20-80mg once/day
Ranitidine,59, Irbesartan, 500mg every 4-6 hours (up to 4g/day)
Donepezil,25, Propranolol Hydrochloride, 0.25-2mg 2-3 times/day
Metformin,56, Rosiglitazone Maleate, 500mg every 4-6 hours (up to 4g/day)
Omeprazole,56, Glimepiride, 40-320mg 2-3 times/day
Captopril,27, Nifedipine, 10-40mg once/day
Plendil,59, Candesartan Cilexetil, 40-60mg once/day
Metoprolol,34, Donepezil Hydrochloride, 20-80mg once/day
Voglibose,77, Fluphenazine Decanoate, 2.5-30mg once every 2-4 weeks
Nisoldipine,49, Nateglinide, 40-320mg 2-3 times/day
Procardia,87, Chlorpromazine Hydrochloride, 25-500mg once/day
Enalapril,40, Furosemide, 500mg every 4-6 hours (up to 4g/day)
Lercanidipine,67, Felodipine, 500-2000mg/day
Repaglinide,64, Quetiapine Fumarate, 2.5-20mg once/day
Metformin,60, Valsartan, 5-10mg once/day
Captopril,77, Levothyroxine Sodium, 12.5-150mg 3 times/day
Procardia,58, Risperidone, 80-120mg 2-3 times/day
Thioridazine,90, Glyburide, 20-80mg once/day
Ramipril,25, Ranitidine Hydrochloride, 12.5-150mg 3 times/day
Ramipril,50, Alprazolam, 10-20mg once/day
Clopidogrel,56, Simvastatin, 40-60mg once/day
Montelukast,91, Irbesartan, 500mg every 4-6 hours (up to 4g/day)
Clonazepam,60, Venlafaxine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Ziprasidone,44, Miglitol, 10-40mg once/day
Valproic Acid,45, Furosemide, 300-1200mg 3 times/day
Losartan,34, Furosemide, 25-100mg once/day
Paliperidone,63, Ziprasidone Hydrochloride, 5-30mg once/day
Adalat,55, Metformin Hydrochloride, 20-80mg once/day
Paliperidone,22, Clonazepam, 25-200mcg once/day
Montelukast,64, Ziprasidone Hydrochloride, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Simvastatin,22, Pantoprazole Sodium, 75-150mg 2-3 times/day
Duloxetine,34, Lisinopril, 10-80mg once/day
Alprazolam,54, Atorvastatin Calcium, 0.25-2mg 2-3 times/day
Telmisartan,110, Montelukast Sodium, 5-30mg once/day
Nisoldipine,58, Cetirizine Hydrochloride, 10mg once/day
Clopidogrel,38, Isradipine, 500mg every 4-6 hours (up to 4g/day)
Thioridazine,54, Pioglitazone Hydrochloride, 25-800mg once/day
Nisoldipine,62, Felodipine, 5-10mg once/day
Aripiprazole,68, Carvedilol, 500mg every 4-6 hours (up to 4g/day)
Captopril,69, Benazepril Hydrochloride, 300-1200mg 3 times/day
Captopril,73, Valsartan, 80-120mg 2-3 times/day
Warfarin,45, Ziprasidone Hydrochloride, 25-100mg before each meal
Donepezil,45, Nisoldipine, 6.25-50mg 2-3 times/day
Simvastatin,47, Carvedilol, 150-300mg 2-3 times/day
Voglibose,55, Lithium Carbonate, 500mg every 4-6 hours (up to 4g/day)
Ranitidine,82, Nifedipine, 500mg every 4-6 hours (up to 4g/day)
Levothyroxine,65, Venlafaxine Hydrochloride, 120mg before each meal
Azithromycin,36, Glibenclamide, 5-10mg once/day
Repaglinide,98, Olanzapine, 8-32mg once/day
Ramipril,27, Lisinopril Dihydrate, 25-800mg/day
Captopril,84, Acetylsalicylic Acid, 400-600mg every 4-6 hours (up to 3.2g/day)
Metformin,42, Pantoprazole Sodium, 2.5-20mg once/day with meal
Lisinopril,34, Pioglitazone Hydrochloride, 20-80mg once/day
Paracetamol,43, Cetirizine Hydrochloride, 5-10mg once/day
Glibenclamide,62, Quetiapine Fumarate, 20mg once/day
Ranitidine,29, Furosemide, 20mg once/day
Hydrochlorothiazide,71, Simvastatin, 5-20mg once/day
Captopril,63, Doxycycline Hyclate, 37.5-225mg once/day
Glibenclamide,72, Clonazepam, 2.5-30mg once every 2-4 weeks
Ramipril,78, Lamotrigine, 120mg before each meal
Risperidone,63, Nateglinide, 10mg once/day
Atorvastatin,45, Aripiprazole, 25-200mcg once/day
Metformin,50, Amoxicillin Trihydrate, 75-300mg once/day
Lisinopril,49, Captopril, 2-6mg once/day
Metoprolol,71, Candesartan Cilexetil, 5-10mg 2-3 times/day
Hydrochlorothiazide,60, Valsartan, 25-100mg once/day
Thioridazine,55, Glimepiride, 10-80mg once/day
Haloperidol,37, Venlafaxine Hydrochloride, 6-12mg once/day
Cetirizine,93, Enalapril Maleate, 30-120mg 2-3 times/day
Enalapril,54, Valsartan, 50-450mg 2-3 times/day
Warfarin,62, Glimepiride, 25-500mg once/day
Procardia,60, Haloperidol, 10-40mg once/day
Glibenclamide,62, Valsartan, 500mg every 4-6 hours (up to 4g/day)
Verapamil,58, Fluphenazine Decanoate, 10-80mg 2-3 times/day
Montelukast,85, Donepezil Hydrochloride, 2.5-20mg once/day with meal
Metformin,22, Acarbose, 150-300mg 2-3 times/day
Verapamil,77, Baclofen, 2.5-10mg once/day
Paliperidone,19, Baclofen, 10mg once/day
Trazodone,41, Isradipine, 1-4mg once/day
Azithromycin,50, Rosiglitazone Maleate, 5-10mg once/day
Candesartan,73, Aripiprazole, 500-3000mg/day
Simvastatin,34, Amoxicillin Trihydrate, 20mg once/day
Lisinopril,65, Lithium Carbonate, 600-1800mg/day
Fluphenazine,83, Pantoprazole Sodium, 0.5-4mg before each meal
Procardia,57, Thioridazine Hydrochloride, 0.5-4mg before each meal
Thioridazine,93, Lithium Carbonate, 2.5-20mg once/day with meal
Acarbose,76, Cetirizine Hydrochloride, 150-300mg 2-3 times/day
Baclofen,42, Lisinopril, 0.25-2mg 2-3 times/day
Glibenclamide,76, Glibenclamide, 6-12mg once/day
Aripiprazole,81, Nifedipine, 10-30mg 2-3 times/day
Glyburide,31, Glyburide, 80-120mg 2-3 times/day
Voglibose,49, Venlafaxine Hydrochloride, 40-320mg once/day
Glyburide,64, Felodipine, 400-600mg every 4-6 hours (up to 3.2g/day)
Olanzapine,49, Lisinopril, 5-10mg once/day
Isradipine,39, Glibenclamide, 25-800mg once/day
Telmisartan,76, Fluphenazine Decanoate, 10-20mg once/day
Fluphenazine,67, Venlafaxine Hydrochloride, 15-45mg once/day
Lisinopril,64, Ramipril, 25-100mg before each meal
Lithium Carbonate,60, Levothyroxine Sodium, 500mg on day 1 followed by 250mg once/day for 4 days
Thioridazine,76, Felodipine, 500-3000mg/day
Omeprazole,60, Felodipine, 5-40mg once/day
Verapamil,96, Aripiprazole, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Cetirizine,68, Levothyroxine Sodium, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Benazepril,59, Carvedilol, 1-4mg once/day
Lisinopril,13, Benazepril Hydrochloride, 10-80mg once/day
Quetiapine,72, Valproic Acid, 10-80mg 2-3 times/day
Enalapril,41, Nisoldipine, 2.5-10mg once/day
Voglibose,51, Omeprazole, 8-32mg once/day
Acarbose,80, Verapamil Hydrochloride, 600-1800mg/day
Glyburide,62, Alprazolam, 25-1000mg/day
Propranolol,77, Levothyroxine Sodium, 500mg every 4-6 hours (up to 4g/day)
Metformin,49, Azithromycin, 0.5-2mg 2-3 times/day
Metformin,97, Rosiglitazone Maleate, 25-100mg before each meal
Quetiapine,50, Doxycycline Hyclate, 500mg every 4-6 hours (up to 4g/day)
Rosiglitazone,67, Enalapril Maleate, 2.5-10mg once/day
Metoprolol,50, Enalapril Maleate, 500mg every 4-6 hours (up to 4g/day)
Paliperidone,38, Hydrochlorothiazide, 15-45mg once/day
Pregabalin,41, Simvastatin, 5-40mg once/day
Isradipine,44, Hydrochlorothiazide, 12.5-25mg once/day
Clonazepam,70, Hydrochlorothiazide, 6-12mg once/day
Valproic Acid,55, Clonazepam, 500-3000mg/day
Chlorpromazine,39, Chlorpromazine Hydrochloride, 600-1800mg/day
Pantoprazole,77, Aripiprazole, 600-1800mg/day
Losartan,37, Pregabalin, 40-160mg once/day
Ziprasidone,64, Amlodipine Besylate, 40-60mg once/day
Adalat,20, Lisinopril, 10mg once/day
Ranitidine,70, Lisinopril, 0.5-4mg before each meal
Thioridazine,74, Ibuprofen, 10-80mg 2-3 times/day
Rosiglitazone,90, Duloxetine Hydrochloride, 30-120mg 2-3 times/day
Procardia,47, Enalapril Maleate, 6-12mg once/day
Losartan,45, Isradipine, 150-300mg 2-3 times/day
Furosemide,46, Pregabalin, 600-1800mg/day
Procardia,62, Isradipine, 10-40mg once/day
Quetiapine,52, Glyburide, 1-4mg once/day
Lisinopril,27, Chlorpromazine Hydrochloride, 25-100mg once/day
Risperidone,48, Propranolol Hydrochloride, 40mg once/day
Metformin,43, Chlorpromazine Hydrochloride, 5-20mg once/day
Alprazolam,53, Isradipine, 12.5-150mg 3 times/day
Quetiapine,96, Glimepiride, 10-80mg 2-3 times/day
Amoxicillin,49, Metformin Hydrochloride, 40-160mg once/day
Olanzapine,51, Hydrochlorothiazide, 10-20mg once/day
Montelukast,86, Furosemide, 10-30mg 2-3 times/day
Isradipine,36, Glyburide, 4-8mg once/day
Adalat,59, Paliperidone, 1-100mg/day
Amlodipine,70, Clonazepam, 25-100mg before each meal
Propranolol,51, Enalapril Maleate, 40-320mg 2-3 times/day
Lisinopril,59, Lisinopril Dihydrate, 75-150mg 2-3 times/day
Verapamil,30, Ibuprofen, 50-450mg 2-3 times/day
Hydrochlorothiazide,73, Azithromycin, 2.5-20mg once/day
Enalapril,59, Verapamil Hydrochloride, 0.5-2mg 2-3 times/day
Duloxetine,59, Isradipine, 1-100mg/day
Montelukast,36, Ranitidine Hydrochloride, 5-10mg once/day
Paliperidone,78, Simvastatin, 25-200mcg once/day
Lercanidipine,61, Warfarin Sodium, 10-80mg once/day
Enalapril,55, Glimepiride, 10-40mg once/day
Lithium Carbonate,33, Felodipine, 5-10mg once/day
Pantoprazole,45, Levothyroxine Sodium, 2.5-20mg once/day
Pioglitazone,82, Glimepiride, 25-100mg once/day
Alprazolam,59, Voglibose, 120mg before each meal
Miglitol,88, Losartan Potassium, 6-12mg once/day
Alprazolam,35, Pregabalin, 10-80mg 2-3 times/day
Losartan,82, Hydrochlorothiazide, 10-30mg 2-3 times/day
Pioglitazone,62, Ibuprofen, 4-8mg once/day
Atorvastatin,57, Repaglinide, 10-30mg 2-3 times/day
Chlorpromazine,45, Lithium Carbonate, 500-2000mg/day
Montelukast,46, Aripiprazole, 600-1800mg/day
Lisinopril,28, Levothyroxine Sodium, 25-1000mg/day
Paracetamol,37, Losartan Potassium, 100mg every 12 hours (up to 200mg/day)
Aripiprazole,31, Cetirizine Hydrochloride, 0.2-0.3g before each meal
Voglibose,64, Clopidogrel Bisulfate, 10-40mg once/day
Gabapentin,49, Omeprazole, 5-10mg once/day
Furosemide,87, Pantoprazole Sodium, 25-1000mg/day
Nisoldipine,73, Lisinopril Dihydrate, 40-320mg 2-3 times/day
Pregabalin,54, Thioridazine Hydrochloride, 20-80mg once/day
Amoxicillin,54, Propranolol Hydrochloride, 20mg once/day
Warfarin,67, Benazepril Hydrochloride, 0.2-0.3g before each meal
Doxycycline,27, Lamotrigine, 5-40mg once/day
Levothyroxine,71, Felodipine, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Lamotrigine,52, Aripiprazole, 5-10mg once/day
Thioridazine,54, Glyburide, 5-10mg once/day
Amlodipine,45, Clonazepam, 5-10mg once/day
Metformin,33, Amlodipine Besylate, 5-40mg once/day
Metformin,64, Glimepiride, 4-8mg once/day
Simvastatin,52, Simvastatin, 12.5-150mg 3 times/day
Lamotrigine,99, Baclofen, 0.2-0.3g before each meal
Irbesartan,65, Thioridazine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Thioridazine,65, Ziprasidone Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Verapamil,67, Losartan Potassium, 40mg once/day
Ramipril,54, Acetylsalicylic Acid, 12.5-25mg once/day
Hydrochlorothiazide,55, Thioridazine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Repaglinide,53, Donepezil Hydrochloride, 75-300mg once/day
Alprazolam,77, Glibenclamide, 250-500mg every 8 hours (up to 3g/day)
Trazodone,75, Montelukast Sodium, 600-1800mg/day
Candesartan,37, Paliperidone, 0.25-2mg 2-3 times/day
Ziprasidone,102, Diltiazem Hydrochloride, 10-40mg once/day
Clopidogrel,45, Paliperidone, 1-100mg/day
Metformin,38, Atorvastatin Calcium, 0.5-2mg 2-3 times/day
Carvedilol,71, Nifedipine, 2.5-30mg once every 2-4 weeks
Ziprasidone,77, Metformin Hydrochloride, 25-100mg before each meal
Lamotrigine,63, Risperidone, 25-100mg before each meal
Telmisartan,59, Quetiapine Fumarate, 40-60mg once/day
Doxycycline,28, Paliperidone, 10-20mg once/day
Lisinopril,46, Baclofen, 5-10mg once/day
Hydrochlorothiazide,80, Nifedipine, 75-150mg 2-3 times/day
Procardia,46, Lithium Carbonate, 5-30mg once/day
Miglitol,97, Acetaminophen, 0.5-2mg 2-3 times/day
Donepezil,67, Ziprasidone Hydrochloride, 40-60mg once/day
Adalat,45, Risperidone, 20-80mg once/day
Cetirizine,29, Acarbose, 12.5-150mg 3 times/day
Duloxetine,67, Acetylsalicylic Acid, 10mg once/day
Glibenclamide,17, Risperidone, 5-10mg once/day
Losartan,33, Benazepril Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Ranitidine,61, Metformin Hydrochloride, 0.2-0.3g before each meal
Duloxetine,83, Felodipine, 15-45mg once/day
Lamotrigine,81, Trazodone Hydrochloride, 150-300mg once/day
Metformin,78, Glimepiride, 0.2-0.3g before each meal
Trazodone,49, Felodipine, 500mg every 4-6 hours (up to 4g/day)
Lamotrigine,65, Quetiapine Fumarate, 500mg every 4-6 hours (up to 4g/day)
Warfarin,48, Felodipine, 40-60mg once/day
Quetiapine,54, Gabapentin, 0.5-4mg before each meal
Montelukast,82, Clonazepam, 0.5-4mg before each meal
Procardia,79, Lisinopril Dihydrate, 10-80mg 2-3 times/day
Ziprasidone,54, Nifedipine, 80-120mg 2-3 times/day
Clonazepam,50, Repaglinide, 40mg once/day
Enalapril,40, Lisinopril Dihydrate, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Ramipril,42, Rosiglitazone Maleate, 600-1800mg/day
Amlodipine,65, Voglibose, 25-100mg once/day
Lercanidipine,52, Telmisartan, 2.5-20mg once/day with meal
Thioridazine,32, Miglitol, 10-40mg once/day
Duloxetine,42, Voglibose, 500-3000mg/day
Verapamil,60, Alprazolam, 6-12mg once/day
Alprazolam,54, Simvastatin, 500mg every 4-6 hours (up to 4g/day)
Plendil,78, Donepezil Hydrochloride, 0.25-2mg 2-3 times/day
Paliperidone,24, Metformin Hydrochloride, 75-300mg once/day
Metoprolol,73, Ziprasidone Hydrochloride, 10-30mg 2-3 times/day
Ranitidine,57, Miglitol, 12.5-25mg once/day
Plendil,99, Acetaminophen, 250-500mg every 8 hours (up to 3g/day)
Isradipine,46, Felodipine, 25-800mg/day
Levothyroxine,99, Furosemide, 75mg once/day
Glyburide,62, Venlafaxine Hydrochloride, 10-30mg 2-3 times/day
Valproic Acid,43, Ramipril, 6.25-50mg 2-3 times/day
Venlafaxine,62, Losartan Potassium, 30-120mg 2-3 times/day
Paliperidone,35, Venlafaxine Hydrochloride, 75-150mg 2-3 times/day
Glyburide,67, Furosemide, 0.2-0.3g before each meal
Haloperidol,51, Nisoldipine, 500mg every 4-6 hours (up to 4g/day)
Glimepiride,47, Azithromycin, 8-32mg once/day
Glyburide,54, Ranitidine Hydrochloride, 15-45mg once/day
Metoprolol,29, Lercanidipine Hydrochloride, 2.5-20mg once/day
Alprazolam,80, Montelukast Sodium, 500mg every 4-6 hours (up to 4g/day)
Omeprazole,55, Captopril, 600-1800mg/day
Isradipine,55, Lamotrigine, 37.5-225mg once/day
Levothyroxine,72, Valproic Acid, 0.5-2mg 2-3 times/day
Donepezil,23, Lamotrigine, 5-10mg once/day
Irbesartan,39, Lercanidipine Hydrochloride, 2-6mg once/day
Glibenclamide,28, Captopril, 5-40mg once/day
Candesartan,48, Glibenclamide, 150-300mg once/day
Baclofen,40, Pantoprazole Sodium, 500-2000mg/day
Venlafaxine,54, Fluoxetine Hydrochloride, 75-150mg 2-3 times/day
Furosemide,77, Levothyroxine Sodium, 37.5-225mg once/day
Miglitol,41, Captopril, 25-1000mg/day
Alprazolam,65, Acetylsalicylic Acid, 500mg every 4-6 hours (up to 4g/day)
Ranitidine,63, Gabapentin, 6-12mg once/day
Pantoprazole,33, Gabapentin, 10-80mg once/day
Irbesartan,47, Quetiapine Fumarate, 25-1000mg/day
Clopidogrel,43, Cetirizine Hydrochloride, 50-450mg 2-3 times/day
Clonazepam,70, Metformin Hydrochloride, 40-320mg 2-3 times/day
Risperidone,60, Nateglinide, 10mg once/day
Trazodone,36, Enalapril Maleate, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Duloxetine,49, Duloxetine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Venlafaxine,60, Propranolol Hydrochloride, 1-100mg/day
Fluoxetine,46, Carvedilol, 40-320mg once/day
Pioglitazone,62, Amlodipine Besylate, 250-500mg every 8 hours (up to 3g/day)
Pantoprazole,86, Azithromycin, 500mg every 4-6 hours (up to 4g/day)
Metformin,33, Amoxicillin Trihydrate, 40mg once/day
Rosiglitazone,52, Miglitol, 25-200mcg once/day
Ramipril,71, Fluoxetine Hydrochloride, 0.5-2mg 2-3 times/day
Ziprasidone,72, Metformin Hydrochloride, 25-200mcg once/day
Irbesartan,62, Voglibose, 0.5-2mg 2-3 times/day
Nifedipine,19, Ranitidine Hydrochloride, 75-300mg once/day
Venlafaxine,70, Acetaminophen, 50-450mg 2-3 times/day
Felodipine,37, Lisinopril, 10-40mg once/day
Glyburide,44, Montelukast Sodium, 10-40mg once/day
Nisoldipine,41, Glyburide, 75-300mg once/day
Haloperidol,42, Valproic Acid, 10-80mg once/day
Losartan,59, Haloperidol, 25-500mg once/day
Verapamil,70, Acetaminophen, 1-4mg once/day
Verapamil,64, Acetylsalicylic Acid, 10mg once/day
Lisinopril,49, Benazepril Hydrochloride, 5-10mg 2-3 times/day
